,Date,Corona cases,Steam users
0,2020-01-03,0,17324237.0
1,2020-01-04,3,17955645.0
2,2020-01-05,3,17836965.0
3,2020-01-06,6,16242436.0
4,2020-01-07,6,15538141.0
5,2020-01-08,6,15651517.0
6,2020-01-09,7,15344289.0
7,2020-01-10,7,16057358.0
8,2020-01-11,8,17800827.0
9,2020-01-12,50,18082679.0
10,2020-01-13,51,15151107.0
11,2020-01-14,57,15119149.0
12,2020-01-15,57,15090511.0
13,2020-01-16,57,14874444.0
14,2020-01-17,58,15466583.0
15,2020-01-18,62,17151545.0
16,2020-01-19,139,17681617.0
17,2020-01-20,218,15698995.0
18,2020-01-21,311,14811064.0
19,2020-01-22,459,15139858.0
20,2020-01-23,590,15009960.0
21,2020-01-24,865,15758746.0
22,2020-01-25,1338,17357562.0
23,2020-01-26,2035,18334908.0
24,2020-01-27,2825,15856133.0
25,2020-01-28,4600,15852949.0
26,2020-01-29,6091,16082136.0
27,2020-01-30,7847,15515407.0
28,2020-01-31,9860,16513838.0
29,2020-02-01,11972,18229426.0
30,2020-02-02,14577,18801944.0
31,2020-02-03,17413,15998574.0
32,2020-02-04,20668,16119628.0
33,2020-02-05,24616,16146300.0
34,2020-02-06,28344,16073265.0
35,2020-02-07,31541,16653522.0
36,2020-02-08,34949,18476163.0
37,2020-02-09,37617,19107803.0
38,2020-02-10,40676,16379689.0
39,2020-02-11,43161,16172538.0
40,2020-02-12,45234,16311768.0
41,2020-02-13,60438,15846983.0
42,2020-02-14,64514,16274227.0
43,2020-02-15,67240,18195332.0
44,2020-02-16,69347,18784637.0
45,2020-02-17,71505,16383808.0
46,2020-02-18,73503,16121544.0
47,2020-02-19,75388,16238997.0
48,2020-02-20,75814,16241883.0
49,2020-02-21,76848,16794019.0
50,2020-02-22,77912,18346544.0
51,2020-02-23,78945,18897883.0
52,2020-02-24,79473,16801894.0
53,2020-02-25,80312,16351439.0
54,2020-02-26,81174,16449059.0
55,2020-02-27,82252,16313389.0
56,2020-02-28,83633,16957670.0
57,2020-02-29,85391,18892097.0
58,2020-03-01,87191,19238796.0
59,2020-03-02,88870,16311251.0
60,2020-03-03,91195,16298749.0
61,2020-03-04,94180,16280554.0
62,2020-03-05,96689,16106355.0
63,2020-03-06,100372,16812399.0
64,2020-03-07,104080,18740309.0
65,2020-03-08,107732,19071497.0
66,2020-03-09,111680,16701686.0
67,2020-03-10,116781,16481311.0
68,2020-03-11,122731,16742145.0
69,2020-03-12,131163,16814366.0
70,2020-03-13,141074,17804957.0
71,2020-03-14,153127,19728294.0
72,2020-03-15,166352,20313451.0
73,2020-03-16,179309,19059854.0
74,2020-03-17,196084,19749321.0
75,2020-03-18,215888,20200769.0
76,2020-03-19,240298,20676191.0
77,2020-03-20,269777,21359817.0
78,2020-03-21,302873,22379088.0
79,2020-03-22,339204,22678529.0
80,2020-03-23,373412,22218401.0
81,2020-03-24,415801,22303418.0
82,2020-03-25,463385,22326770.0
83,2020-03-26,514849,22537692.0
84,2020-03-27,575545,22391174.0
85,2020-03-28,642781,22668547.0
86,2020-03-29,708969,23434674.0
87,2020-03-30,766998,23571959.0
88,2020-03-31,832280,23635201.0
89,2020-04-01,900082,23822540.0
90,2020-04-02,973378,23836136.0
91,2020-04-03,1050636,24156193.0
92,2020-04-04,1131991,24535923.0
93,2020-04-05,1209034,23950718.0
94,2020-04-06,1279900,23500878.0
95,2020-04-07,1349370,23528451.0
96,2020-04-08,1424788,23287059.0
97,2020-04-09,1505107,23356608.0
98,2020-04-10,1593153,23733428.0
99,2020-04-11,1681021,23762792.0
100,2020-04-12,1762770,23653965.0
101,2020-04-13,1835404,24385319.0
102,2020-04-14,1902210,24038614.0
103,2020-04-15,1973706,23553455.0
104,2020-04-16,2048866,23154456.0
105,2020-04-17,2127916,23578913.0
106,2020-04-18,2211011,23549552.0
107,2020-04-19,2292590,23486390.0
108,2020-04-20,2364713,23472659.0
109,2020-04-21,2437219,23351839.0
110,2020-04-22,2512327,23256741.0
111,2020-04-23,2587672,23205080.0
112,2020-04-24,2669564,23666457.0
113,2020-04-25,2765915,23190930.0
114,2020-04-26,2848762,23315861.0
115,2020-04-27,2928846,23299170.0
116,2020-04-28,2998562,23575838.0
117,2020-04-29,3069058,23176198.0
118,2020-04-30,3146290,23388261.0
119,2020-05-01,3228537,23515387.0
120,2020-05-02,3316917,22938880.0
121,2020-05-03,3405374,23195518.0
122,2020-05-04,3484434,23190847.0
123,2020-05-05,3564242,23022032.0
124,2020-05-06,3642134,22735477.0
125,2020-05-07,3724946,22550368.0
126,2020-05-08,3814720,22555587.0
127,2020-05-09,3906084,22244391.0
128,2020-05-10,3998256,22408211.0
129,2020-05-11,4084895,22634316.0
130,2020-05-12,4157746,22565027.0
131,2020-05-13,4238893,22343861.0
